Speaker 1:                                             Joe Biden picking up not one but three endorsements from his former opponents.
Matthew Miller:                                        Appreciate you man.

Mari Manoogian:                                        When the auto industry was going under, Joe stuck his neck out to protect it and helped save one and a half million auto jobs.

Conor Lamb:                                            When our economy was on the brink, Joe led the recovery effort that created millions of jobs, including here in Western Pennsylvania. Under his leadership, America bounced back with the longest economic expansion in history.

Nikki Fried:                                           You know, the one Trump brags about creating -

Colin Allred:                                          That's what happens when Joe Biden is in your corner. Working families get a fair shot.

Mari Manoogian:                                        He understands that leadership means fighting for the people who built this country. All of you.

B. Boyle, C. Al...:                                    All of us.

Stacey Abrams:                                         This nation belongs to all of us and in every election, we choose how we will create a more perfect union. Not by taking sides, but by taking stock of where we are and what we need. This year's choice could not be more clear. America faces a triple threat, a public health catastrophe, an economic collapse, and a reckoning with racial justice and inequality. So our choice is clear. A steady, experienced public servant who can lead us out of this crisis just like he's done before, or a man who only knows how to deny and distract. A leader who cares about our families or a president who only cares about himself. We know Joe Biden. America, we need Joe Biden. To make your voice heard, text VOTE to 30330.

Stacey Abrams:                                         In a democracy, we do not elect saviors. We cast our ballots for those who see our struggles and pledge to serve, who hear our dreams and work to make them real. Who defend our way of life by protecting our right to vote. Faced with a president of cowardice, Joe Biden is a man of proven courage. He will restore our moral compass by confronting our challenges, not by hiding from them or undermining our elections to keep his job. In a time of voter suppression at home and authoritarians abroad, Joe Biden will be a champion for free and fair elections, for a public health system that keeps us safe, for an economy that we build back better than before and for accountability and integrity in our system of justice. We stand with Joe Biden because this isn't just about defeating Donald Trump. We are in this to win for America, so let's get it done.

Tracee Ellis Ro...:                                    Hello. I'm Tracee Ellis Ross and how exciting to hear from young elected leaders from across the country. A perfect way to begin Night Two of the Democratic National Convention, uniting America. Tonight is all about leadership. This unprecedented moment calls for leadership, steady, inclusive leadership, driven by people who understand that our democracy is based on the value of each and every one of us being treated with dignity and respect. Leaders who respond to the needs of hardworking Americans who right this minute are unable to pay rent, put food on the table and keep their loved ones safe. As a black woman, I find myself at a crucial intersection in American politics. For far too long, black female leadership in this country has been utilized without being acknowledged or valued, but we are turning the tide. Hello Kamala. Her nomination is historic for anyone who believes in we the people. Like Senator Harris and many we saw in the keynote, today's leaders emerge from communities that have long been under-represented. They are charting new paths in the spirit of Shirley Chisholm, Charlotta Bass, Fannie Lou Hamer, and John Lewis. They get in good trouble, necessary trouble. They call things out otherwise ignored, elevating our nation -

Tracee Ellis Ro...:                                    ... things out otherwise ignored, elevating our nation and changing the course of our lives for the better. With every vote we cast for forward-thinking, honest leaders, we chip away at ingrained systems of inequity and we bend the arc of justice.

Tracee Ellis Ro...:                                    True leaders make sure that policy is informed by all of us, bridging our burden past to a safe, equitable, and even joyful future. Joe Biden and Kamala Harris are that bridge, heeding voices from within the movement for racial justice, listening to the people, and acting with empathy and compassion to reflect our shared humanity.

Tracee Ellis Ro...:                                    Tonight, we'll hear from a number of American leaders, including former acting US Attorney General, Sally Yates, who refused to defend an unconstitutional travel ban and paid for it with her job.

Joe Biden:                                             A threat to this nation, to our democracy is real. It's clear and it's present. We've watched the president now for three years. Look at what he's doing, instilling fear. I mean, not joking. Instilling fear. Showing division, stroking racial division, undercutting every institution that was designed to check the abuse of power by the president or anyone else. All this for what reason? All this in order to solidify his base and expand his power.

Sally Yates:                                           Good evening. I'm Sally Yates. Speaking at a political convention is something I never expected to be doing, but the future of our democracy is at stake. I'm here in my hometown of Atlanta, where as a young lawyer, I joined our nation's justice department. For nearly 30 years through Democratic and Republican administrations, I worked alongside my DOJ colleagues to advance our nation's promise of equal justice.

Sally Yates:                                           I served as deputy attorney general in the Obama-Biden administration, and stayed on as acting attorney general for the Trump transition. Then 10 days in, I was fired for refusing to defend President Trump's shameful and unlawful Muslim travel ban. That was the start of his relentless attacks on our democratic institutions and countless dedicated public servants.

Sally Yates:                                           Like me, these officials didn't swear an oath to a person or a party. Public servants promise to defend our Constitution, uphold our laws, and work on behalf of the American people. But from the moment President Trump took office, he's used his position to benefit himself rather than our country. He's trampled the rule of law, trying to weaponize our justice department to attack his enemies and protect his friends. Rather than standing up to Vladimir Putin, he fawns over a dictator who is still trying to interfere in our elections. He's even trying to sabotage our postal service to keep people from being able to vote.

Sally Yates:                                           His constant attacks on the FBI, the free press, inspectors general, federal judges, they all have one purpose, to remove any check on his abuse of power. Put simply, he treats our country like it's his family business. This time, bankrupting our nation's moral authority at home and abroad.

Sally Yates:                                           But our country doesn't belong to him. It belongs to all of us. Joe Biden embraces that. He has spent his entire life putting our country first. He has never backed down from a challenge or a bully. He summons the best in us, and lives by the values that define us as Americans, service, integrity, courage, compassion.

Sally Yates:                                           There are countless stories of Joe Biden reaching out to someone in their moment of need. Well, this is our country's moment of need. We need a president who respects our laws and the privilege of public service. Who reflects our values and cares about our people. We need a president who will restore the soul of America. We need Joe Biden.

Sally Yates:                                           (singing)

Tony A.:                                               Over the last four years, we have experienced failed leadership under Donald J. Trump.

Chris F.:                                              We've had to deal with his insanity.

Donna-Marie W.:                                        I've watched our country deteriorate.

Micah:                                                 The coverups, the lying, the favoritism.

Nancy G.:                                              The disregard for the Constitution.

Joseph W.:                                             Donald Trump has failed America.

Tony A.:                                               It is time for us to reclaim our constitutional and democratic value.

Denise:                                                We need to prove to the world, and most importantly, prove to ourselves that we are better than this.

Nick:                                                  We need an experienced leader.

Tony A.:                                               A leader that has passion, integrity, and strategic leadership skills.

Chris F.:                                              His name is Joe Biden.

Joseph W.:                                             Joe Biden.

Nick:                                                  Joe Biden is that leader.

Donna-Marie W.:                                        And he really wants the best for this country.

Georgia M.:                                            He understands and respects our democracy, the rule of law, and the US Constitution.

Jacqueline A.:                                         He will move toward creating a more perfect union.

Jacqueline A.:                                         (singing)

Cameraman:                                             Two, one.

Chuck Schumer:                                         Hi.

Cameraman:                                             Go.

Chuck Schumer:                                         Hi, this is Senator Chuck Schumer, Democratic leader, from my hometown, Brooklyn, New York. Behind me is a site I see out of my window every night, the Statue of Liberty. The same site that greeted hopeful immigrants, like my grandparents. A symbol of freedom and a beacon of hope to the world.

Chuck Schumer:                                         Today, Donald Trump has divided our country, diminished our greatness, and demeaned everything that this statue represents. He even hid in a bunker as Americans were teargassed and beaten. Millions are jobless, 170,000 Americans have died from COVID, and Donald Trump says, "It is what it is."

Chuck Schumer:                                         A president should never say, "It is what it is." President Lincoln, honoring the great sacrifice at Gettysburg, didn't say, "It is what it is." President Roosevelt seeing a third of the nation ill-housed, ill-clad, and ill-nourished didn't say, "It is what it is."

Chuck Schumer:                                         America, Donald Trump has quit on you. We need a president with dignity, integrity, and the experience to lead us out of this crisis. A man with a steady hand and a big heart who will never, ever quit on America. That man is my friend, Joe Biden.

Chuck Schumer:                                         He will be a great president. But if we're going to win this battle for the soul of our nation, Joe can't do it alone. Democrats must take back the Senate. We will stay united from Sanders and Warren to Manchin and Warner. And with our unity, we will bring bold and dramatic change to our country.

Chuck Schumer:                                         Let me tell you some of the things we'd do. With President Biden, Vice President Harris, and a Democratic majority, we will make healthcare affordable for all. We'll undo the vicious inequality of income and wealth that has plagued America for far too long, and we'll take strong, decisive action to combat climate change and save the planet. We will protect voting rights, fight systemic racism in the criminal justice system and in our economy, and restore a Supreme Court that looks out for people, not corporations. We'll rebuild our infrastructure and make sure every home, from inner city to rural America, has broadband. We will save the post office. And once and for all, defeat COVID-19, this evil disease.

Chuck Schumer:                                         And beckoned by the lady behind us, we will reform our immigration system so that immigrants yearning to breathe free, will at last become American citizens. Together, we can reignite the hope once felt by millions of men and women, huddled masses on creaking ships, who glimpsed this mighty woman with her torch, knowing they could build a better life here in America. And out of this long, national nightmare, America will finally awaken to a brighter future and a new day.

Tracee Ellis Ro...:                                    Senator Chuck Schumer reminding us that leadership requires integrity and accountability. Real leaders don't ask what we can do for them, they ask what they can do for us. In a minute, we will hear from two former presidents, and they are going to speak to that. But first, here are Caroline Kennedy and her son, Jack Schlossberg.

Caroline Kenned...:                                    Sixty years ago in a crowded LA stadium, my father accepted the Democratic nomination for president. He challenged Americans to look to the future and join him on a journey toward a new frontier.

Jack Schlossber...:                                    It was a call to the young at heart, regardless of age or party. Times have changed, but the themes of my grandfather's speech, courage, unity, and patriotism, are as important today as they were in 1960. And once again, we need a leader who believes America's best days are yet to come. We need Joe Biden.

Caroline Kenned...:                                    I've admired Joe Biden since I was a Senate intern in 1974. He shared my Uncle Teddy's commitment to civil rights, women's rights, and working families. He was a senator who cared, who led, who inspired. That's why I helped choose him to be Barack Obama's running mate in 2008.

Caroline Kenned...:                                    When I was US ambassador to Japan, I got to see Vice President Biden in action. He stepped off Air Force Two wearing his aviator glasses and a big smile, radiating American optimism and generosity. I saw a leader who was tough but fair, who commanded the trust and respect of other nations, and who always put America's interests first. Joe Biden's lifetime of public service reflects his unwavering commitment to our highest ideals.

Jack Schlossber...:                                    In this election, our future is on the ballot. For my generation, it will define the rest of our lives. We need to tackle climate change, we need to end systemic racial injustice, we need to make healthcare available for everybody, and we need to rebuild an economy that helps working families.

Jack Schlossber...:                                    We can do this. We can reach these new frontiers, but only with a president who asks what he can do for our country and what together we can do to build a better world. It's up to us. Let's get it done. Let's elect Joe Biden the next president of the United States.

Caroline Kenned...:                                    Let's elect Joe Biden the next president of the United States.

Rosalynn Carter:                                       It's a great pleasure for Jimmy and me to join you in celebrating our next president of the United States, Joe Biden. We've known and admired Joe and Jill for many years. Most recently, I've worked with him on tackling the demands faced by the more than 53 million unpaid caregivers in our country who are juggling work and other family responsibilities, and putting their own physical, and mental health, and well-being at risk.

Rosalynn Carter:                                       Joe knows well, too well, the sorrows and struggles of being a family caregiver. From Joe's time as a young widower thrust into single parenthood with a demanding job, to he and Jill caring for their own parents and their son Beau at the end of their lives, he knows caregiving is hard, even on the good days. Joe and I also know the challenges of caregiving for those who served in the military and returned with visible and invisible wounds. And we know those caregivers need a leader in the White House. Jimmy and I are voting for Joe because he recognizes the challenges facing our families, and has the heart and the talent to make life better for all Americans.

Jimmy Carter:                                          When I ran for president in 1976, Joe Biden was my first and most effective supporter in the Senate. For decades, he has been my loyal and dedicated friend. Joe has the experience, character, and decency to bring us together and restore America's greatness. We deserve a person with integrity and judgment, someone who is honest and fair, someone who is committed to what is best for the American people.

Jimmy Carter:                                          Joe is that kind of leader, and he is the right person for this moment in our nation's history. He understands that honesty and dignity are essential traits that determine not only our vision, but our actions. More than ever, that's what we need.

Jimmy Carter:                                          During these uncertain times, Joe Biden realizes that many American lives can be saved each day with the use of masks and testing, as recommended by our medical experts. Joe Biden must be our next president.

Bill Clinton:                                          Good evening. A presidential election is the world's most important job interview. At the end, we hire a leader to help us solve problems,, create opportunities and give our kids better tomorrows. That's a tall order this year, with the COVID-19 outbreak on a path to killing 200,000 people and destroying millions of jobs and small businesses.

Bill Clinton:                                          How did Donald Trump respond? At first, he said the virus was under control and would soon disappear. When it didn't, he was on TV every day bragging on what a great job he was doing, while our scientists waited to give us vital information. When he didn't like the expert advice he was given, he ignored it.

Bill Clinton:                                          Only when COVID exploded in even more states did he encourage people to wear masks. By then, many more were dying. When asked about the surge in deaths, he shrugged and said, "It is what it is."

